flight_id,waypoint,longitude,latitude,altitude,time,n_engine,takeoff_mass,level,air_pressure,air_temperature,specific_humidity,u_wind,v_wind,rhi,true_airspeed,segment_length,sin_a,cos_a,aircraft_mass,engine_efficiency,fuel_flow,fuel_burn,thrust,rocd,fuel_flow_per_engine,thrust_setting,nox_ei,co_ei,hc_ei,nvpm_ei_m,nvpm_ei_n,co2,h2o,so2,sulphates,oc,nox,co,hc,nvpm_mass,nvpm_number,wingspan,G,T_sat_liquid,rh,rh_critical_sac,sac,T_critical_sac,width,depth,rhi_1,air_temperature_1,specific_humidity_1,altitude_1,persistent_1,rho_air_1,iwc_1,n_ice_per_m_1,ef,contrail_age,global_yearly_mean_rf,atr20,sdr_mean,rsr_mean,olr_mean,rf_sw_mean,rf_lw_mean,rf_net_mean,cocip,nox_GWP_20_kg,nox_GWP_100_kg,h2o_GWP_20_kg,h2o_GWP_100_kg,soot_GWP_20_kg,soot_GWP_100_kg,so2_GWP_20_kg,so2_GWP_100_kg,contrail_GWP_20_kg,contrail_GWP_100_kg,total_CO2e_GWP_20_kg,total_CO2e_GWP_100_kg,cumulative_distance
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,331,-20.853666666666665,42.0336,11276.3808,2023-02-05 06:33:00,2.0,196741.0,216.66539290647108,21666.53929064711,215.95197,9.621876e-06,-0.94839865,-12.647096,0.2133448395682777,235.1222590070487,14046.355615234192,-0.0465079748045892,0.998917918689807,167614.79961579636,0.371321328270209,1.349908471231125,80.99450827386748,91947.50105382229,4.0,0.6749542356155623,0.4126111999711888,0.0129986032498279,0.0005958168128686,0.0001210252901139,6.845093461733213e-05,680919878555999.1,255.86165163714736,99.623245176857,0.0971934099286409,0.0019835389781355,0.0016198901654773,1.052815478466911,0.0482578897795991,0.009802383861481,0.0055441497902174,5.515077073754471e+16,60.3,1.5865266585834523,230.85361358521715,0.1215776174435757,0.0,1.0,221.83962126125067,47.359508653654885,55.09400078766607,0.2139018045568578,215.97937,9.639938e-06,11248.833799606167,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,339.00658406634534,62.11611322954775,21.91711393890854,5.97739471061142,23.773314300452213,6.4644786553934885,-1.6503044298087362,-0.448279809058623,0.0,0.0,638.9083595130446,329.97135842364133,331
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,332,-20.6838,42.0276,11277.6,2023-02-05 06:34:00,2.0,196741.0,216.62374173827783,21662.374173827782,215.709,9.395968e-06,-0.49400607,-11.671488,0.2150819272191505,235.15175868413544,13899.52420124993,-0.0475537624637402,0.9988686798951812,167533.80510752252,0.3713513173659534,1.31807186032771,79.0843116196626,89774.97321614489,0.0,0.659035930163855,0.401307948699403,0.0126778381683185,0.0005937240147583,0.0001206001904977,6.592964076749913e-05,687385961485266.2,249.8273404065141,97.273703292185,0.0949011739435951,0.0019367586519101,0.0015816862323932,1.0026181043669535,0.0469542549992288,0.0095375830467183,0.0052140002554293,5.436144558108219e+16,60.3,1.5862970246088863,230.8521092212796,0.1222794295469041,0.0,1.0,221.84082209479743,47.359508653654885,54.11468634629745,0.2159723465595035,215.72916,9.41974e-06,11250.542656826852,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,322.84302960615906,59.15446815765026,21.4002147242807,5.8364221975311,22.35763309528084,6.079524297830564,-1.611383198389203,-0.4377074553316826,0.0,0.0,614.8168346338455,320.4600476041943,332
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,333,-20.515733333333333,42.02153333333333,11277.6,2023-02-05 06:35:00,2.0,196741.0,216.62374173827783,21662.374173827782,215.5109,9.26479e-06,-0.094588414,-10.817464,0.217707777995569,234.4458075310018,13463.53132133965,-0.053011292092046,0.9985939129149204,167454.72079590283,0.3691608244806604,1.3033332824707031,78.19999694824219,88513.20779720724,0.0,0.6516666412353516,0.3951811333647944,0.0125103708239259,0.0005919264372951,0.0001202350575755,6.471123381832528e-05,688321064552588.1,247.03379035949703,96.1859962463379,0.0938399963378906,0.0019151019660794,0.0015639999389648,0.9783109602523892,0.046288645590068,0.0094023811354825,0.00506041828711,5.382670514742321e+16,60.3,1.5807886937145417,230.81596541589337,0.1235352060825874,0.0,1.0,221.8123375683042,47.359508653654885,53.77156799399766,0.2189685703279741,215.52742,9.299318e-06,11250.714216003002,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,315.01612920126934,57.72034665489096,21.160919174194337,5.771159774780274,21.69907361512768,5.90044772277026,-1.5933648357780608,-0.4328130443339444,0.0,0.0,603.3165475143103,315.9929314676046,333
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,334,-20.353,42.015,11277.6,2023-02-05 06:36:00,2.0,196741.0,216.62374173827783,21662.374173827782,215.36707,9.333942e-06,0.16456029,-10.117637,0.2235506762992523,233.3702583240851,14426.86318425361,-0.0555069791687009,0.9984582992111214,167376.5207989546,0.3680864725775229,1.3033332824707031,78.19999694824219,88662.361422034,0.0,0.6516666412353516,0.3937552112052759,0.0124806184407304,0.0005906238342625,0.0001199704663345,6.459883463385153e-05,685115091408766.9,247.03379035949703,96.1859962463379,0.0938399963378906,0.0019151019660794,0.0015639999389648,0.9759843239772946,0.0461867820368942,0.0093816901012441,0.0050516286712271,5.357599805736024e+16,60.3,1.5781011055116472,230.79828983565525,0.1266742568331881,0.0,1.0,221.80770781338535,47.359508653654885,54.02254601260278,0.2253631014567299,215.38373,9.390322e-06,11250.5887269937,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,314.26695232068886,57.58307511466038,21.160919174194337,5.771159774780274,21.661383742221805,5.890199030650798,-1.5933648357780608,-0.4328130443339444,0.0,0.0,602.5296807608239,315.8454112352546,334
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,335,-20.178666666666665,42.007666666666665,11277.6,2023-02-05 06:37:00,2.0,196741.0,216.62374173827783,21662.374173827782,215.23343,9.458234e-06,0.36024567,-9.412138,0.2305774997382591,232.4785444662934,14401.66935102934,-0.0494302275322612,0.9987775791466832,167298.32080200635,0.3686228229820492,1.3356329094404888,80.13797456642934,91341.03162842196,0.0,0.6678164547202444,0.4022076917083263,0.0127515513485368,0.0005894152667106,0.0001197249760505,6.691887642814032e-05,676192544173387.2,253.15586165535024,98.56970871670808,0.0961655694797151,0.0019625626424431,0.0016027594913285,1.02188349765156,0.047234545652722,0.0095945170857091,0.0053627432172123,5.4188700906976056e+16,60.3,1.5794418472594425,230.8071108833508,0.1304871758909636,0.0,1.0,221.829871913266,47.359508653654885,54.382980004182784,0.2330574489004655,215.25139,9.541756e-06,11250.40850999791,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,329.04648624380235,60.291126361442046,21.685335917675776,5.914182523002484,22.995442915406343,6.252958591269541,-1.6328521185126594,-0.44353915719214065,0.0,0.0,625.2502746137219,325.1705899738721,335
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,336,-20.0046,42.00113333333333,11277.6,2023-02-05 06:38:00,2.0,196741.0,216.62374173827783,21662.374173827782,215.12244,9.620467e-06,0.45851865,-8.752986,0.2380139777381388,232.65466394083904,14115.771200649811,0.017277683823159,0.9998507296800392,167218.18282743992,0.3688032671881741,1.367049910754037,82.02299464524222,93464.5298466299,0.0,0.6835249553770185,0.410966795356205,0.0130299213640085,0.0005884128963329,0.0001195213695676,6.928509317665273e-05,670792696143555.1,259.1106400843201,100.88828341364793,0.0984275935742906,0.0020087263994753,0.0016404598929048,1.0687531702679982,0.0482633878451077,0.0098035006560375,0.0056829708266236,5.502042572385042e+16,60.3,1.579893684638252,230.81008213006152,0.1345506321156919,0.0,1.0,221.84765560110463,47.359508653654885,54.60191963550685,0.2412079596895949,215.14279,9.733957e-06,11250.299040182246,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,344.1385208262954,63.0564370458119,22.195422351002545,6.053297004818876,24.368578904561996,6.6263439838431175,-1.6712603643634494,-0.45397216628141773,0.0,0.0,648.1419018018166,334.3927459525126,336
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,337,-19.8338,42.0032,11277.6,2023-02-05 06:39:00,2.0,196741.0,216.62374173827783,21662.374173827782,215.03342,9.7729535e-06,0.41651192,-8.133727,0.2446634722816707,233.57291539127755,13874.965770715702,0.0250230614691465,0.999686874173464,167136.15983279468,0.3681454796921862,1.3033332824707031,78.19999694824219,88599.63539460565,0.0,0.6516666412353516,0.3916044676617067,0.0124466563041239,0.0005876097762813,0.0001193582358071,6.449152361001411e-05,686149225566392.5,247.03379035949703,96.1859962463379,0.0938399963378906,0.0019151019660794,0.0015639999389648,0.9733284849983144,0.0459510827119603,0.0093338136758669,0.0050432369494905,5.365686734533063e+16,60.3,1.5782491039573536,230.79926387746383,0.1381909736616363,0.0,1.0,221.85128094566207,47.359508653654885,54.438002463011046,0.2485527899067178,215.05469,9.913761e-06,11250.380998768494,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,313.4117721694572,57.426380614900545,21.160919174194337,5.771159774780274,21.62540003941526,5.880414283105923,-1.5933648357780608,-0.4328130443339444,0.0,0.0,601.6385169067858,315.67893198794985,337
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,338,-19.66593333333333,42.0062,11277.6,2023-02-05 06:40:00,2.0,196741.0,216.62374173827783,21662.374173827782,214.94968,9.891888e-06,0.31190705,-7.527849,0.2504143780568502,232.6368223729553,13725.627046809484,0.0252741989733729,0.999680556411024,167057.95983584644,0.3687849919091574,1.3091160167253522,78.54696100352113,89506.0467905114,4.0,0.6545580083626761,0.3923828118280726,0.0124784697667188,0.0005868549161217,0.0001192049048372,6.483722134762739e-05,682177535314745.4,248.12984981012323,96.612762034331,0.0942563532042253,0.0019235990449841,0.0015709392200704,0.9801458781500836,0.0460956702113415,0.0093631830116787,0.0050927666967687,5.358297226384546e+16,60.3,1.5798482550294526,230.80978342262017,0.1413245987357701,0.0,1.0,221.87261019432307,47.359508653654885,54.57305742380128,0.2550209317771378,214.97041,1.0058327e-05,11250.3134712881,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,315.60697276432694,57.82860681085493,21.25480764755282,5.79676572205986,21.837783595744188,5.938165968432305,-1.6004344054267712,-0.4347333841664066,0.0,0.0,605.2289794123204,317.2586549273039,338
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,339,-19.499866666666662,42.0092,11278.8192,2023-02-05 06:41:00,2.0,196741.0,216.58209857699225,21658.209857699225,214.86981,9.971858e-06,0.14706656,-6.940753,0.255087164255013,232.09182526077657,13766.279402055365,0.0252054035990764,0.9996822933459448,166979.41287484294,0.3682262681670096,1.321060621759598,79.26363730557587,90397.64737350278,0.0,0.660530310879799,0.3952666998159824,0.0125732360586115,0.0005862506173036,0.0001190821566398,6.56682272415623e-05,678031604121360.2,250.39383024831412,97.49427388585832,0.095116364766691,0.001941150301361,0.0015852727461115,0.9966004227071756,0.0464683563001296,0.0094388848734638,0.0052051025465753,5.37432511507933e+16,60.3,1.578147798446554,230.7985971508054,0.1438500419759562,0.0,1.0,221.87180122773003,47.359508653654885,54.40714402670879,0.2603941022093593,214.8885,1.0161003e-05,11251.615627986646,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,320.90533611171054,58.799424939723366,21.44874025488883,5.849656433151499,22.319479719714888,6.0691495693068,-1.615037050732352,-0.438699968107586,0.0,0.0,613.452349283896,320.67336122238817,339
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,340,-19.3333,42.0122,11278.8192,2023-02-05 06:42:00,2.0,196741.0,216.58209857699225,21658.209857699225,214.79012,9.951259e-06,-0.13648333,-6.3499117,0.2572764233548962,231.9903856860129,13819.231833080168,0.0248481858951811,0.9996912361613052,166900.14923753735,0.3681221713256221,1.3505906957391196,81.03544174434718,92432.60648019156,0.0,0.6752953478695598,0.4035076734677544,0.0128334501021937,0.0005855333871197,0.0001189364692587,6.785458445571083e-05,672103057448904.1,255.99096047039276,99.67359334554703,0.0972425300932166,0.0019845414304738,0.0016207088348869,1.039964298135311,0.0474489566813133,0.0096380693258917,0.0054986262257476,5.4464168158098296e+16,60.3,1.577887811161661,230.7968859108154,0.1449731257358874,0.0,1.0,221.8744389093126,47.359508653654885,53.61916991301876,0.2630217721047533,214.80263,1.0147459e-05,11252.009615043493,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,334.8685039995701,61.35789358998335,21.92819053602035,5.9804156007328215,23.578109256005707,6.411398179221702,-1.6511384701542018,-0.4485063632870788,0.0,0.0,634.7146257918347,329.2921614770435,340
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,341,-19.166083333333333,42.015166666666666,11278.8192,2023-02-05 06:43:00,2.0,196741.0,216.58209857699225,21658.209857699225,214.7102,9.915211e-06,-0.46750128,-5.775387,0.2590892594784357,232.63604181616503,14003.72838312924,0.0166064682728017,0.9998621030979744,166819.113795793,0.3687841923551467,1.363269519941117,81.796171196467,93208.70628922227,-4.0,0.6816347599705583,0.4070218880028193,0.0129490271155997,0.0005848147764966,0.0001187905014758,6.882872960072265e-05,671757446193733.9,258.39410480963926,100.6092905716544,0.0981554054357603,0.0020031715395053,0.0016359234239293,1.0591808387752937,0.047835609576543,0.0097166081952353,0.005629926549656,5.494718707136413e+16,60.3,1.5795427046237198,230.8077741786725,0.1458820554307232,0.0,1.0,221.88782691348777,47.359508653654885,52.497842091167605,0.2651413693927135,214.71542,1.0111937e-05,11252.570278954416,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,341.0562300856446,62.49166948774233,22.13404392576397,6.036557434299263,24.141125044924927,6.564494356898896,-1.6666387208684097,-0.4527167679281978,0.0,0.0,644.0588651451044,333.0341093206515,341
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,342,-18.9966,42.01713333333333,11277.6,2023-02-05 06:44:00,2.0,196741.0,216.62374173827783,21662.374173827782,214.62912,9.869987e-06,-0.8581637,-5.1974163,0.2607622309298614,233.53778042573256,14117.617537896333,0.0167511545994537,0.9998596895662836,166737.31762459653,0.3697066135107053,1.3414293190019542,80.48575914011725,91589.84491877124,0.0,0.6707146595009771,0.4002588155989904,0.012750960015007,0.0005839717901258,0.0001186192698693,6.71880101498305e-05,679103214803595.5,254.2545131236304,98.99748374234422,0.0965829109681407,0.0019710798156763,0.0016097151828023,1.0262706965731203,0.0470014128446888,0.0095471619840774,0.005407678002023,5.4658137777961496e+16,60.3,1.5821581693276232,230.8249618655058,0.1467091192541088,0.0,1.0,221.90668532916644,47.359508653654885,51.151395035998405,0.267005717629506,214.62582,1.0061205e-05,11252.024302482,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,330.4591642965447,60.5499710978141,21.77944642331573,5.939849024540653,23.188123272674623,6.305352550358818,-1.6399384066426816,-0.4454640383428438,0.0,0.0,628.0413087095227,326.60422175800113,342
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,343,-18.82573333333333,42.01913333333333,11277.6,2023-02-05 06:45:00,2.0,196741.0,216.62374173827783,21662.374173827782,214.54459,9.822937e-06,-1.335558,-4.7038813,0.2624636224747009,233.69595490801987,13968.493006301078,0.0169088551952143,0.9998570350885108,166656.83186545642,0.3698681555126164,1.3420399396823792,80.52239638094275,91609.5279577188,0.0,0.6710199698411896,0.3999304605208421,0.0127491812829929,0.0005832131115,0.0001184651632734,6.721125318546325e-05,679584850860194.6,254.37025016739813,99.04254754855958,0.0966268756571313,0.0019719770542271,0.0016104479276188,1.0265946288016552,0.0469617173387675,0.0095390988344371,0.0054120111702597,5.4721800735448456e+16,60.3,1.5825637749167538,230.82762507177185,0.1475458529449753,0.0,1.0,221.9122687802646,47.359508653654885,49.98932072144924,0.2687169467307646,214.53229,1.000097e-05,11252.605339639276,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,330.563470474133,60.56908309929766,21.78936046068311,5.9425528529135745,23.206703898073595,6.31040502452281,-1.6406849091169473,-0.4456668142553246,0.0,0.0,628.2891000911709,326.74662432987685,343
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,344,-18.656666666666663,42.02113333333333,11277.6,2023-02-05 06:46:00,2.0,196741.0,216.62374173827783,21662.374173827782,214.45833,9.75518e-06,-1.8450869,-4.2643166,0.2636744259113994,233.84466835015388,14039.530375657743,0.0163053781770269,0.9998670584845288,166576.30946907547,0.3700199642884092,1.332468788792944,79.94812732757664,90935.65255825924,4.0,0.666234394396472,0.3965561296539499,0.0126539813146175,0.0005824397110768,0.0001183080663124,6.646795323053472e-05,682014993808234.1,252.5561342278146,98.33619661291928,0.0959377527930919,0.0019579133223079,0.0015989625465515,1.0116621093418217,0.0465649641818108,0.0094585083494303,0.0053139883880781,5.4525821564297096e+16,60.3,1.5829451315561158,230.83012850771087,0.1481030105720233,0.0,1.0,221.9166572880439,47.359508653654885,48.95547859202494,0.269763536450462,214.43813,9.915215e-06,11253.122260703987,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,325.7551992080666,59.68806445116748,21.633963254842243,5.900171796775156,22.786382208078894,6.196110460499065,-1.6289838841601727,-0.44248841084158536,0.0,0.0,621.102695014642,323.89799252541474,344
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,345,-18.486733333333333,42.02306666666667,11278.8192,2023-02-05 06:47:00,2.0,196741.0,216.58209857699225,21658.209857699225,214.3703,9.664458e-06,-2.3893487,-3.8798358,0.2642640120448453,233.6839957239208,13949.89028047929,0.0089577774008026,0.9999598783071438,166496.3613417479,0.3698559444304835,1.306802953158349,78.40817718950093,89205.8218319535,0.0,0.6534014765791745,0.3883386580814605,0.0124085674772014,0.0005817652483013,0.0001181710660612,6.452374733900227e-05,686383811817232.6,247.69143174163344,96.44205794308614,0.0940898126274011,0.001920200257702,0.00156816354379,0.9729331574202876,0.0456151526715077,0.0092655778864,0.005059189414287,5.381810353697064e+16,60.3,1.582228729340014,230.82542520601496,0.1483076857462752,0.0,1.0,221.9131151113341,47.359508653654885,48.10475732852117,0.2700497332430384,214.34297,9.802771e-06,11254.76682133574,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,313.2844766893326,57.40305628779697,21.217252747478952,5.7865234765851685,21.693804208462655,5.899014857058642,-1.597606614408064,-0.433965258240652,0.0,0.0,602.2893587724996,316.34606110483355,345
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,346,-18.317866666666667,42.02406666666667,11278.8192,2023-02-05 06:48:00,2.0,196741.0,216.58209857699225,21658.209857699225,214.27084,9.608609e-06,-2.9818277,-3.5733159,0.2662567752319574,232.97684317003603,13639.861158112251,0.0085735778568511,0.9999632462059456,166417.9531645584,0.3691331077023702,1.3271185223112736,79.62711133867641,90690.00198895852,-4.0,0.6635592611556368,0.3934024567034813,0.0125739907618957,0.0005808750030733,0.0001179902349992,6.595162179024521e-05,680321745958782.1,251.5420447188788,97.94134694657198,0.0955525336064117,0.0019500517062532,0.0015925422267735,1.001230562368964,0.0462533985435787,0.0093952215791644,0.0052515371312581,5.417205541158267e+16,60.3,1.580415681918495,230.8135138052248,0.1492823828219796,0.0,1.0,221.90586097546927,47.359508653654885,47.66254076484895,0.2716412263687002,214.23859,9.7240745e-06,11254.987929617577,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,322.3962410828064,59.07260317976887,21.547096328245836,5.876480816794318,22.518591218834732,6.123292295046944,-1.6224430196026625,-0.4407116856132232,0.0,0.0,616.3815303291632,322.1737093248757,346
IBE_6300_2023-02-05T01-01_2023-02-05T08-35,347,-18.15275,42.025,11277.6,2023-02-05 06:49:00,2.0,196741.0,216.62374173827783,21662.374173827782,214.16568,9.580286e-06,-3.575579,-3.3185244,0.2692890350897049,232.94551224443344,13675.505975219105,0.0090983732590256,0.99995860894541,166338.32605321973,0.3691010459233026,1.3157976833639078,78.94786100183447,89920.6636217683,4.0,0.6578988416819539,0.3892556584744771,0.0124576376124165,0.0005798210253659,0.0001177761457774,6.507032525243277e-05,682750305741810.1,249.39629290479508,97.1058690322564,0.0947374332022013,0.0019334170041265,0.0015789572200366,0.9835038426362878,0.0457756297165341,0.0092981747861709,0.0051371629933732,5.390167623666441e+16,60.3,1.5806392242631015,230.8149830932435,0.1508299414612935,0.0,1.0,221.91303405479613,47.359508653654885,47.19179599101613,0.2742157136111494,214.13007,9.673042e-06,11254.004102004492,0.0,,,,0.0,0 days 00:00:00,,,,,,,,,0.0,316.68823732888467,58.02672671554098,21.363291187096408,5.826352141935383,22.028154915584285,5.9899320502731515,-1.608602947433248,-0.436952242932589,0.0,0.0,607.8673733889271,318.802351569612,347
